Country,"	Date","	Conversion",Search,"	Average Time (s)","	Median Time (s)",Add,"	Average Time (s)","	Median Time (s)",Export,"	Is complete"
"	Poland","	Jan 21",0,7,545,545,2,0,0,0,True
"	Poland","	Jan 22",0,3,0,0,0,0,0,0,True
"	Poland","	Jan 23",0.333333333,3,3953,3953,2,68278,68278,1,True
"	Poland","	Jan 24",0,0,0,0,0,0,0,0,True
"	Poland","	Jan 25",0,0,0,0,0,0,0,0,True
"	Poland","	Jan 26",0.2,5,1089,496,3,70414,70414,1,True
"	Poland","	Jan 27",0.2,5,213,213,2,1866,1866,1,True
"	Poland","	Jan 28",0,6,397,166,3,0,0,0,True
"	Poland","	Jan 29",0,2,0,0,0,0,0,0,True
"	Poland","	Jan 30",0,6,313,313,2,0,0,0,True
"	Poland","	Jan 31",0,0,0,0,0,0,0,0,True
"	Poland","	Feb 01",0,0,0,0,0,0,0,0,True
"	Poland","	Feb 02",0.333333333,6,23461,84,3,5461,5461,2,True
"	Poland","	Feb 03",0.125,8,606,331,4,76,76,1,True
"	Poland","	Feb 04",0,6,15,15,1,0,0,0,True
"	Poland","	Feb 05",0.090909091,11,118,60,7,9530,9530,1,True
"	Poland","	Feb 06",0,7,34,34,2,0,0,0,True
"	Poland","	Feb 07",0,2,0,0,0,0,0,0,True
"	Poland","	Feb 08",0.666666667,3,1492,61,3,31173,31173,2,True
"	Poland","	Feb 09",0.3,10,133,100,5,6072,4759,3,True
"	Poland","	Feb 10",0.125,8,947,148,3,3513,3513,1,True
"	Poland","	Feb 11",0,7,17,15,3,0,0,0,True
"	Poland","	Feb 12",0.090909091,11,14160,27,4,17242,17242,1,True
"	Poland","	Feb 13",0.2,5,11,11,2,17242,17242,1,True
"	Poland","	Feb 14",0,1,406,406,1,0,0,0,True
"	Poland","	Feb 15",0,1,0,0,0,0,0,0,True
"	Poland","	Feb 16",0.2,5,24237,52,3,239,239,1,False
"	Poland","	Feb 17",0.1,10,13821,34,6,1530,1530,1,False
"	Poland","	Feb 18",0,11,358,57,8,0,0,0,False
"	Egypt","	Total",0.021276596,94,244,113,36,1106,1106,2,
"	Egypt","	Jan 19",0,1,0,0,0,0,0,0,True
"	Egypt","	Jan 20",0,1,0,0,0,0,0,0,True
"	Egypt","	Jan 21",0,5,102,102,1,0,0,0,True
"	Egypt","	Jan 22",0,7,470,470,2,0,0,0,True
"	Egypt","	Jan 23",0.2,5,139,123,3,2065,2065,1,True
"	Egypt","	Jan 24",0,3,0,0,0,0,0,0,True
"	Egypt","	Jan 25",0,5,34,34,2,0,0,0,True
"	Egypt","	Jan 26",0,2,0,0,0,0,0,0,True
"	Egypt","	Jan 27",0,2,64,64,2,0,0,0,True
"	Egypt","	Jan 28",0,5,79,79,2,0,0,0,True
"	Egypt","	Jan 29",0,1,0,0,0,0,0,0,True
"	Egypt","	Jan 30",0,0,0,0,0,0,0,0,True
"	Egypt","	Jan 31",0,2,470,470,2,0,0,0,True
"	Egypt","	Feb 01",0,3,560,560,2,0,0,0,True
